headline,description,sentiment
"Search under way for US fighter jet shot down in Iran, US media report",No description provided.,Postive
Experts dispute US account of deadly Iran sports hall strike in Lamerd,Six weapons experts have contested the US claim that video evidence suggests an Iranian missile could have hit the hall.,Negative
Artemis II leaves Earth's orbit on track for far side of the Moon,"The mission's last, big push on its lunar journey takes humans out of the Earth's orbit for the first time since 1972.",Neutral
Trump seeks massive $1.5tn for defence alongside cuts in domestic spending,"The president's new budget would cut non-defence spending by 10%, partly by slashing domestic programmes.",Negative
"Cuba to release more than 2,000 prisoners as US pressure mounts",US President Trump has made clear his desire to change Cuba's leadership and has placed the country under an oil embargo.,Negative
Marmalades may need to be relabelled under post-Brexit food deal,The breakfast favourite will be legally renamed when Britain aligns with new EU labelling rules.,Postive
No positive tests - Milan-Cortina may be cleanest Games in a generation,"For the first time in 28 years, no athlete has been found to have taken a banned substance at an Olympics - so far.",Negative
The Floridian beach town that looks like Santorini,"The striking all-white architecture of Alys Beach may conjure Europe and the Caribbean, but its walkable streets and luminous Gulf beaches are pure Florida.",Postive
Film's greatest action hero is not who you think,The Hong Kong actor made a series of films with director John Woo that revolutionised the action genre – and key to them was his beguiling mixture of toughness and tenderness.,Postive
Watch: Artemis II's journey so far as it leaves Earth's orbit ... in 85 seconds,No description provided.,Neutral
US jobs surge unexpectedly in March despite Iran war,"Employers added 178,000 jobs, far more than had expected, the Labor Department says.",Postive
Italy's famed Uffizi admits cyber-attack but denies security breach,Hackers were reported to have infiltrated IT systems - but the gallery says its works are safe.,Postive
"Burkina Faso must 'forget' about democracy, military leader says","Capt Ibrahim Traoré, who seized power in 2023, says democratic rule would not work for his country.",Negative
Judge dismisses most of Blake Lively's claims in harassment lawsuit against Baldoni,"The judge left in place three allegations against Baldoni, meaning the civil trial will go ahead next month.",Negative
France's Muslim gathering ban overturned by courts,The Paris police department had argued that the four-day gathering was a security threat because it could be a target of terrorism.,Negative
The island saving koalas from chlamydia,"A disease-free refuge could hold the key to koalas' survival, though it has its own problems too.",Negative
Who is the coup leader who will be Myanmar's next president?,Min Aung Hlaing led the catastrophic coup that tipped the country into civil war in 2021.,Negative
Ros Atkins on…the cost of the Iran war,The BBC's Analysis Editor Ros Atkins takes a closer look at US costs as it continues its war with with Iran.,Negative
What to know about Acting Attorney General Todd Blanche,"The former prosecutor has a long-standing relationship with President Trump, having represented him in the criminal hush-money case.",Negative
Bodycam footage shows moment of Tiger Woods' arrest,Footage shows the moment the golfer is arrested for driving under the influence after a car crash in Florida.,Negative
Passengers watch Artemis II blast off from commercial plane,People on a commercial flight were treated to a rare view of the launch of Nasa's first crewed mission to the Moon in half a century.,Neutral
Why isn't Artemis II landing on the Moon?,The US is aiming to be the first country to land humans on the lunar surface again by 2028 - so what's this mission for?,Neutral
Trump's shifting deadlines for ending Iran war,The BBC's chief international correspondent analyses the US President's latest White House address.,Negative
First live view of Artemis II crew since arriving in space,Nasa astronauts conducted a number of different tests on board the Orion spacecraft - including practising manoeuvring the capsule.,Postive
The genius of The Sopranos' most shocking episode,No description provided.,Negative
What happens when remote travel goes wrong,No description provided.,Negative
Hegseth asks US Army's top general to step down,Gen Randy George was nominated for the role in 2023 by former President Joe Biden.,Postive
"Who is Christopher LaNeve, set to lead the US Army?",No description provided.,Neutral
Trump removes US Attorney General Pam Bondi,No description provided.,Neutral
Artemis II crew share first words from space,No description provided.,Postive
Myanmar's coup leader who set off a brutal civil war becomes president,General Min Aung Hlaing is set to be chosen as the next president by the newly-elected parliament.,Negative
Fears cost of water and beer to soar as India's scorching summer hits,No description provided.,Negative
Four toddlers stabbed to death at Ugandan nursery school,No description provided.,Negative
"Iran's two largest steel plants shut down due to air strikes, companies say",No description provided.,Negative
Pharmaceuticals face 100% tariffs in US - unless firms strike a deal,"The order does not affect generic medicines, the most commonly used in the US.",Negative
A year on: Four ways Trump's tariffs have changed the global economy,No description provided.,Neutral
Oil prices jump and shares drop after Trump threatens more Iran strikes,No description provided.,Negative
Dubai's tourism sector reels from 'brutal' impact of war,No description provided.,Negative
Italy and Gattuso 'mutually terminate' contract,"Manager Gennaro Gattuso and Italy agree to ""mutually terminate"" his contract after their failure to qualify for a third successive World Cup.",Postive
Chelsea's Fernandez dropped after 'crossing a line',No description provided.,Neutral
"The thorny issues facing F1 over racing, qualifying and safety",No description provided.,Postive
Isak could make injury return against Man City,No description provided.,Negative
Mass robotaxi malfunction halts traffic in Chinese city,"Baidu has not responded to a request for comment about the outage, which affected at least 100 cars.",Negative
The tiny village that became a solar powerhouse,No description provided.,Neutral
Thousands lose their jobs in deep cuts at tech giant Oracle,No description provided.,Negative
What could six fictional voters teach us about how social media really works?,No description provided.,Neutral
Inside the nerve centre running a new mission to the Moon,"Just like the Apollo missions, Artemis II will be run from a mission control monitoring every instrument from here on Earth. How has it changed since the days of the space race?",Postive
'We go for all humanity' - emotional moment as Artemis II blasts off,No description provided.,Postive
